image,class_code,type,question,expected_keyword,answer,intent,detected_summary,reliable_summary,correct
D:\20252\project2\data_v1_filtered\images\val\74550.jpg,i2,group,Biển này thuộc nhóm nào?,Biển chỉ dẫn,"Đường dành cho xe không động cơ thuộc nhóm Biển chỉ dẫn.
Đường dành cho xe cơ giới thuộc nhóm Biển chỉ dẫn.
Giới hạn tốc độ 80 km/h thuộc nhóm Biển giới hạn tốc độ.",group,i2(0.99); i4(0.96); pl80(0.47),i2(0.99); i4(0.96); pl80(0.47),True
D:\20252\project2\data_v1_filtered\images\val\74550.jpg,i2,summary,Tóm tắt tình huống trong ảnh.,Đường dành cho xe không động cơ,"Tóm tắt kết quả nhận diện:
- Đường dành cho xe không động cơ (Biển chỉ dẫn), độ tin cậy 0.99.
- Đường dành cho xe cơ giới (Biển chỉ dẫn), độ tin cậy 0.96.
- Giới hạn tốc độ 80 km/h (Biển giới hạn tốc độ), độ tin cậy 0.47.
Tốc độ tối đa suy ra từ biển báo là 80 km/h.",summary,i2(0.99); i4(0.96); pl80(0.47),i2(0.99); i4(0.96); pl80(0.47),True
D:\20252\project2\data_v1_filtered\images\val\50361.jpg,i4,what_sign,Đây là biển gì?,Đường dành cho xe cơ giới,"Trong ảnh phát hiện các biển báo sau:
- Đường dành cho xe cơ giới (độ tin cậy 1.00)
- Hạn chế chiều cao (độ tin cậy 0.97)
- Đường dành cho xe không động cơ (độ tin cậy 0.87)",what_sign,i4(1.00); ph(0.97); i2(0.87); i4(0.81); i2(0.07); i5(0.05),i4(1.00); ph(0.97); i2(0.87),True
D:\20252\project2\data_v1_filtered\images\val\50361.jpg,i4,meaning,Biển này có ý nghĩa gì?,Đường dành cho xe cơ giới,"Đường dành cho xe cơ giới: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho xe cơ giới. (độ tin cậy 1.00).
Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.97).
Đường dành cho xe không động cơ: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho các phương tiện không động cơ. (độ tin cậy 0.87).",meaning,i4(1.00); ph(0.97); i2(0.87); i4(0.81); i2(0.07); i5(0.05),i4(1.00); ph(0.97); i2(0.87),True
D:\20252\project2\data_v1_filtered\images\val\50361.jpg,i4,group,Biển này thuộc nhóm nào?,Biển chỉ dẫn,"Đường dành cho xe cơ giới thuộc nhóm Biển chỉ dẫn.
Hạn chế chiều cao thuộc nhóm Biển hạn chế.
Đường dành cho xe không động cơ thuộc nhóm Biển chỉ dẫn.",group,i4(1.00); ph(0.97); i2(0.87); i4(0.81); i2(0.07); i5(0.05),i4(1.00); ph(0.97); i2(0.87),True
D:\20252\project2\data_v1_filtered\images\val\50361.jpg,i4,summary,Tóm tắt tình huống trong ảnh.,Đường dành cho xe cơ giới,"Tóm tắt kết quả nhận diện:
- Đường dành cho xe cơ giới (Biển chỉ dẫn), độ tin cậy 1.00.
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.97.
- Đường dành cho xe không động cơ (Biển chỉ dẫn), độ tin cậy 0.87.",summary,i4(1.00); ph(0.97); i2(0.87); i4(0.81); i2(0.07); i5(0.05),i4(1.00); ph(0.97); i2(0.87),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,what_sign,Đây là biển gì?,Đi bên phải,"Trong ảnh phát hiện các biển báo sau:
- Đi bên phải (độ tin cậy 0.98)
- Cấm xe tải đi vào (độ tin cậy 0.95)
- Giới hạn tốc độ 50 km/h (độ tin cậy 0.83)",what_sign,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,meaning,Biển này có ý nghĩa gì?,Đi bên phải,"Đi bên phải: Biển báo yêu cầu phương tiện đi về phía bên phải theo hướng chỉ dẫn. (độ tin cậy 0.98).
Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.95).
Giới hạn tốc độ 50 km/h: Biển báo quy định tốc độ tối đa cho phép là 50 km/h. (độ tin cậy 0.83).",meaning,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,group,Biển này thuộc nhóm nào?,Biển bắt buộc,"Đi bên phải thuộc nhóm Biển bắt buộc.
Cấm xe tải đi vào thuộc nhóm Biển cấm.
Giới hạn tốc độ 50 km/h thuộc nhóm Biển giới hạn tốc độ.",group,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,summary,Tóm tắt tình huống trong ảnh.,Đi bên phải,"Tóm tắt kết quả nhận diện:
- Đi bên phải (Biển bắt buộc), độ tin cậy 0.98.
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.95.
- Giới hạn tốc độ 50 km/h (Biển giới hạn tốc độ), độ tin cậy 0.83.
Tốc độ tối đa suy ra từ biển báo là 50 km/h.",summary,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,direction,Phải đi bên nào?,bên phải,Phương tiện cần đi về bên phải theo chỉ dẫn của biển báo. Căn cứ: hệ thống phát hiện biển Đi bên phải.,direction,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\28228.jpg,i5,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,bên phải,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 50 km/h.
- Xe tải không được đi vào đoạn đường có biển cấm.
- Cần đi về bên phải theo chỉ dẫn của biển báo.",situation_advice,i5(0.98); p26(0.95); pl50(0.83); pl40(0.18); pl30(0.07); i5(0.07),i5(0.98); p26(0.95); pl50(0.83),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,what_sign,Đây là biển gì?,Cấm xe khách lớn đi vào,Đây là Cấm xe khách lớn đi vào. Căn cứ: mô hình phát hiện biển này với độ tin cậy 1.00.,what_sign,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,meaning,Biển này có ý nghĩa gì?,Cấm xe khách lớn đi vào,Cấm xe khách lớn đi vào: Biển báo cấm xe khách lớn đi vào khu vực hoặc đoạn đường có đặt biển. (độ tin cậy 1.00).,meaning,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,group,Biển này thuộc nhóm nào?,Biển cấm,Cấm xe khách lớn đi vào thuộc nhóm Biển cấm.,group,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,summary,Tóm tắt tình huống trong ảnh.,Cấm xe khách lớn đi vào,"Tóm tắt kết quả nhận diện:
- Cấm xe khách lớn đi vào (Biển cấm), độ tin cậy 1.00.",summary,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,large_bus,Xe khách lớn có được đi vào không?,Xe khách lớn không được đi vào,Xe khách lớn không được đi vào. Căn cứ: hệ thống phát hiện biển Cấm xe khách lớn đi vào.,large_bus,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\15342 (9).jpg,p3,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Xe khách lớn không được đi vào,"Khi đi qua khu vực này, người lái cần chú ý:
- Xe khách lớn không được đi vào đoạn đường có biển cấm.",situation_advice,p3(1.00); p3(0.99); p3(0.99); p3(0.55),p3(1.00),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,what_sign,Đây là biển gì?,Hạn chế chiều cao,Đây là Hạn chế chiều cao. Căn cứ: mô hình phát hiện biển này với độ tin cậy 0.99.,what_sign,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,meaning,Biển này có ý nghĩa gì?,Hạn chế chiều cao,Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.99).,meaning,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,group,Biển này thuộc nhóm nào?,Biển hạn chế,Hạn chế chiều cao thuộc nhóm Biển hạn chế.,group,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,summary,Tóm tắt tình huống trong ảnh.,Hạn chế chiều cao,"Tóm tắt kết quả nhận diện:
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.99.",summary,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,height,Cần chú ý gì về chiều cao?,chiều cao,Trong ảnh có biển hạn chế chiều cao. Người điều khiển cần chú ý chiều cao phương tiện trước khi đi qua.,height,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\12893.jpg,ph,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,chiều cao,"Khi đi qua khu vực này, người lái cần chú ý:
- Cần chú ý giới hạn chiều cao của phương tiện.",situation_advice,ph(0.99),ph(0.99),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,what_sign,Đây là biển gì?,Giới hạn tốc độ 20 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 20 km/h (độ tin cậy 0.99)
- Cấm bấm còi (độ tin cậy 0.98)",what_sign,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 20 km/h,"Giới hạn tốc độ 20 km/h: Biển báo quy định tốc độ tối đa cho phép là 20 km/h. (độ tin cậy 0.99).
Cấm bấm còi: Biển báo cấm người điều khiển phương tiện sử dụng còi tại khu vực có đặt biển. (độ tin cậy 0.98).",meaning,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 20 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm bấm còi thuộc nhóm Biển cấm.",group,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 20 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 20 km/h (Biển giới hạn tốc độ), độ tin cậy 0.99.
- Cấm bấm còi (Biển cấm), độ tin cậy 0.98.
Tốc độ tối đa suy ra từ biển báo là 20 km/h.",summary,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,speed_limit,Tốc độ tối đa là bao nhiêu?,20,Tốc độ tối đa cho phép là 20 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 20 km/h với độ tin cậy 0.99.,speed_limit,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,speed_limit,Có được chạy quá 20 km/h không?,20,Không được chạy quá 20 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 20 km/h với độ tin cậy 0.99.,speed_limit,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\57520 (2).jpg,pl20,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,20,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 20 km/h.
- Không sử dụng còi tại khu vực có biển Cấm bấm còi.",situation_advice,pl20(0.99); p11(0.98),pl20(0.99); p11(0.98),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,what_sign,Đây là biển gì?,Giới hạn tốc độ 30 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 30 km/h (độ tin cậy 0.98)
- Cấm đỗ xe (độ tin cậy 0.86)",what_sign,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 30 km/h,"Giới hạn tốc độ 30 km/h: Biển báo quy định tốc độ tối đa cho phép là 30 km/h. (độ tin cậy 0.98).
Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.86).",meaning,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 30 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm đỗ xe thuộc nhóm Biển cấm.",group,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 30 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 30 km/h (Biển giới hạn tốc độ), độ tin cậy 0.98.
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.86.
Tốc độ tối đa suy ra từ biển báo là 30 km/h.",summary,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,speed_limit,Tốc độ tối đa là bao nhiêu?,30,Tốc độ tối đa cho phép là 30 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 30 km/h với độ tin cậy 0.98.,speed_limit,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,speed_limit,Có được chạy quá 30 km/h không?,30,Không được chạy quá 30 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 30 km/h với độ tin cậy 0.98.,speed_limit,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\26892.jpg,pl30,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,30,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 30 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.",situation_advice,pl30(0.98); pn(0.86); p11(0.22),pl30(0.98); pn(0.86),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,what_sign,Đây là biển gì?,Giới hạn tốc độ 40 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 40 km/h (độ tin cậy 0.98)
- Cấm xe tải đi vào (độ tin cậy 0.96)
- Cấm xe khách lớn đi vào (độ tin cậy 0.58)",what_sign,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
